Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,127.78,128.71,126.94,127.83,90757329
2021. 1. 20 오후 4:00:00,128.66,132.49,128.55,132.03,104319489
2021. 1. 21 오후 4:00:00,133.8,139.67,133.59,136.87,120529544
2021. 1. 22 오후 4:00:00,136.28,139.85,135.02,139.07,114459360
2021. 1. 25 오후 4:00:00,143.07,145.09,136.54,142.92,157611713
2021. 1. 26 오후 4:00:00,143.6,144.3,141.37,143.16,98390555
2021. 1. 27 오후 4:00:00,143.43,144.3,140.41,142.06,140843759
2021. 1. 28 오후 4:00:00,139.52,141.99,136.7,137.09,142621128
2021. 1. 29 오후 4:00:00,135.83,136.74,130.21,131.96,177523812
2021. 2. 1 오후 4:00:00,133.75,135.38,130.93,134.14,106239823
2021. 2. 2 오후 4:00:00,135.73,136.31,134.61,134.99,83305367
2021. 2. 3 오후 4:00:00,135.76,135.77,133.61,133.94,89880937
2021. 2. 4 오후 4:00:00,136.3,137.4,134.59,137.39,84183061
2021. 2. 5 오후 4:00:00,137.35,137.42,135.86,136.76,75693830
2021. 2. 8 오후 4:00:00,136.03,136.96,134.92,136.91,71297214
2021. 2. 9 오후 4:00:00,136.62,137.88,135.85,136.01,76774213
2021. 2. 10 오후 4:00:00,136.48,136.99,134.4,135.39,73046563
2021. 2. 11 오후 4:00:00,135.9,136.39,133.77,135.13,64280029
2021. 2. 12 오후 4:00:00,134.35,135.53,133.69,135.37,60145130
2021. 2. 16 오후 4:00:00,135.49,136.01,132.79,133.19,80576316
2021. 2. 17 오후 4:00:00,131.25,132.22,129.47,130.84,98085249
2021. 2. 18 오후 4:00:00,129.2,130,127.41,129.71,96856748
2021. 2. 19 오후 4:00:00,130.24,130.71,128.8,129.87,87668834
2021. 2. 22 오후 4:00:00,128.01,129.72,125.6,126,103916419
2021. 2. 23 오후 4:00:00,123.76,126.71,118.39,125.86,158273022
2021. 2. 24 오후 4:00:00,124.94,125.56,122.23,125.35,111039904
2021. 2. 25 오후 4:00:00,124.68,126.46,120.54,120.99,148199540
2021. 2. 26 오후 4:00:00,122.59,124.85,121.2,121.26,164560394
2021. 3. 1 오후 4:00:00,123.75,127.93,122.79,127.79,116307892
2021. 3. 2 오후 4:00:00,128.41,128.72,125.01,125.12,102260945
2021. 3. 3 오후 4:00:00,124.81,125.71,121.84,122.06,112966340
2021. 3. 4 오후 4:00:00,121.75,123.6,118.62,120.13,178154975
2021. 3. 5 오후 4:00:00,120.98,121.94,117.57,121.42,153766601
2021. 3. 8 오후 4:00:00,120.93,121,116.21,116.36,154376610
2021. 3. 9 오후 4:00:00,119.03,122.06,118.79,121.09,129525780
2021. 3. 10 오후 4:00:00,121.69,122.17,119.45,119.98,111943326
2021. 3. 11 오후 4:00:00,122.54,123.21,121.26,121.96,103026514
2021. 3. 12 오후 4:00:00,120.4,121.17,119.16,121.03,88105050
2021. 3. 15 오후 4:00:00,121.41,124,120.42,123.99,92590555
2021. 3. 16 오후 4:00:00,125.7,127.22,124.72,125.57,115227936
2021. 3. 17 오후 4:00:00,124.05,125.86,122.34,124.76,111932636
2021. 3. 18 오후 4:00:00,122.88,123.18,120.32,120.53,121469755
2021. 3. 19 오후 4:00:00,119.9,121.43,119.68,119.99,185549522
2021. 3. 22 오후 4:00:00,120.33,123.87,120.26,123.39,111912284
2021. 3. 23 오후 4:00:00,123.33,124.24,122.14,122.54,95467142
2021. 3. 24 오후 4:00:00,122.82,122.9,120.07,120.09,88530485
2021. 3. 25 오후 4:00:00,119.54,121.66,119,120.59,98844681
2021. 3. 26 오후 4:00:00,120.35,121.48,118.92,121.21,94071234
