Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,155.35,157.25,154.8,156.04,3305142
2021. 1. 20 오후 4:00:00,159.1,163.99,158.75,163.17,5309835
2021. 1. 21 오후 4:00:00,164.65,167.43,164.48,165.35,4945051
2021. 1. 22 오후 4:00:00,165.22,166.1,164.16,164.61,2821914
2021. 1. 25 오후 4:00:00,166.43,168.19,162.16,164.7,3749758
2021. 1. 26 오후 4:00:00,164.82,166.9,164.14,166.31,2955235
2021. 1. 27 오후 4:00:00,167.07,167.33,160.35,161.63,4660158
2021. 1. 28 오후 4:00:00,161.75,165.08,161.43,161.88,3149228
2021. 1. 29 오후 4:00:00,161.5,161.85,159.23,160.31,4293556
2021. 2. 1 오후 4:00:00,162.12,167.51,161.75,167.14,4160212
2021. 2. 2 오후 4:00:00,169,171.39,168.06,169,7098637
2021. 2. 3 오후 4:00:00,171.25,171.7,165.43,165.63,7088781
2021. 2. 4 오후 4:00:00,166.5,167.35,163.89,166.55,3670661
2021. 2. 5 오후 4:00:00,165.95,168.85,165.14,167.61,3620808
2021. 2. 8 오후 4:00:00,167.93,168.25,165.2,166.15,3257391
2021. 2. 9 오후 4:00:00,165.62,166.9,164.89,165.25,2203526
2021. 2. 10 오후 4:00:00,165.7,165.9,162.7,164.33,3151550
2021. 2. 11 오후 4:00:00,164.6,164.6,162.4,163.11,2301417
2021. 2. 12 오후 4:00:00,162.5,164.01,161.67,163.89,2335339
2021. 2. 16 오후 4:00:00,162.7,165.42,162.68,163.45,2574721
2021. 2. 17 오후 4:00:00,163.18,166.05,162.97,165.43,3302099
2021. 2. 18 오후 4:00:00,164.12,166.9,163.7,166.41,3033607
2021. 2. 19 오후 4:00:00,166.41,166.68,162.29,162.5,4305184
2021. 2. 22 오후 4:00:00,160.41,161.62,158.61,159.04,3515679
2021. 2. 23 오후 4:00:00,156.35,160.24,154.68,159.73,4677222
2021. 2. 24 오후 4:00:00,158.34,158.56,156.27,157.98,3011275
2021. 2. 25 오후 4:00:00,156.84,158.91,152.39,152.86,4533801
2021. 2. 26 오후 4:00:00,154.76,156.12,151.84,154.65,4275930
2021. 3. 1 오후 4:00:00,156.39,157.48,154.9,157.31,2733963
2021. 3. 2 오후 4:00:00,157.17,158.18,154.36,154.73,2595762
