Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,87.15,90.19,86.64,89.22,2082951
2021. 1. 20 오후 4:00:00,91.32,94.99,90.98,94,3207570
2021. 1. 21 오후 4:00:00,94.68,96.6,93.97,94.21,2932973
2021. 1. 22 오후 4:00:00,94.57,95.22,93.82,94.63,1637195
2021. 1. 25 오후 4:00:00,95.64,96.09,92.96,94.71,2529346
2021. 1. 26 오후 4:00:00,94.3,95.79,93.81,95.4,1573078
2021. 1. 27 오후 4:00:00,93.75,94.02,89.86,90.95,4125631
2021. 1. 28 오후 4:00:00,91.55,94.4,91.55,92.66,2763905
2021. 1. 29 오후 4:00:00,91.7,92.38,90.08,91.37,2226509
2021. 2. 1 오후 4:00:00,92.23,95.78,92.23,94.65,2012603
2021. 2. 2 오후 4:00:00,95.66,97.47,95.32,95.96,3316620
2021. 2. 3 오후 4:00:00,103.28,105.33,100.68,102.94,4894082
2021. 2. 4 오후 4:00:00,103.03,103.47,101.76,102.68,2429780
2021. 2. 5 오후 4:00:00,102.98,104.8,102.5,104.44,1493256
2021. 2. 8 오후 4:00:00,105,105.75,103.17,104.23,1441443
2021. 2. 9 오후 4:00:00,103.74,104.93,103.5,103.77,1094583
2021. 2. 10 오후 4:00:00,104.16,104.94,102.61,104.32,1255080
2021. 2. 11 오후 4:00:00,104.55,104.7,103.44,104.44,1024029
2021. 2. 12 오후 4:00:00,103.99,104.98,103.68,104.75,949525
2021. 2. 16 오후 4:00:00,104.59,107.26,104.59,105.54,1550195
2021. 2. 17 오후 4:00:00,104.7,106.12,104.42,105.93,1015177
2021. 2. 18 오후 4:00:00,105.25,106.1,104.67,105.29,1128549
2021. 2. 19 오후 4:00:00,105.39,105.93,104.17,104.44,1896939
2021. 2. 22 오후 4:00:00,102.68,104.02,102.4,102.71,1473317
2021. 2. 23 오후 4:00:00,100.7,103.63,99.51,103.01,1732899
2021. 2. 24 오후 4:00:00,101.5,104.42,101.38,104.19,1130437
2021. 2. 25 오후 4:00:00,102.8,104.15,100.32,100.8,2077409
2021. 2. 26 오후 4:00:00,101.5,102.83,100.05,101.1,2002064
2021. 3. 1 오후 4:00:00,102.4,103.81,101.72,103.48,1303089
2021. 3. 2 오후 4:00:00,103.24,104.74,102.83,103.22,1278184
2021. 3. 3 오후 4:00:00,102.6,103.8,99.7,100.57,1694645
2021. 3. 4 오후 4:00:00,100.74,103.73,100.27,101.7,2460786
2021. 3. 5 오후 4:00:00,103.06,105.31,101.39,104.85,2654977
2021. 3. 8 오후 4:00:00,104.2,105.69,100.26,100.38,1843371
