Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,213.75,216.98,212.63,216.44,30480859
2021. 1. 20 오후 4:00:00,217.7,225.79,217.29,224.34,37777260
2021. 1. 21 오후 4:00:00,224.7,226.3,222.42,224.97,30749553
2021. 1. 22 오후 4:00:00,227.08,230.07,225.8,225.95,30172663
2021. 1. 25 오후 4:00:00,229.12,229.78,224.22,229.53,33152095
2021. 1. 26 오후 4:00:00,231.86,234.18,230.08,232.33,49169601
2021. 1. 27 오후 4:00:00,238,240.44,230.14,232.9,69870638
2021. 1. 28 오후 4:00:00,235.61,242.64,235.09,238.93,49111159
2021. 1. 29 오후 4:00:00,235.99,238.02,231.35,231.96,42503138
2021. 2. 1 오후 4:00:00,235.06,242.5,232.43,239.65,33314193
2021. 2. 2 오후 4:00:00,241.3,242.31,238.69,239.51,25916337
2021. 2. 3 오후 4:00:00,239.57,245.09,239.26,243,27158104
2021. 2. 4 오후 4:00:00,242.66,243.24,240.37,242.01,25296100
2021. 2. 5 오후 4:00:00,242.23,243.28,240.42,242.2,18054752
2021. 2. 8 오후 4:00:00,243.15,243.68,240.81,242.47,22211929
2021. 2. 9 오후 4:00:00,241.87,244.76,241.38,243.77,23564953
2021. 2. 10 오후 4:00:00,245,245.92,240.89,242.82,22186706
2021. 2. 11 오후 4:00:00,244.78,245.15,242.15,244.49,15751059
2021. 2. 12 오후 4:00:00,243.93,245.3,242.73,244.99,16561079
2021. 2. 16 오후 4:00:00,245.03,246.13,242.92,243.7,26728490
2021. 2. 17 오후 4:00:00,241.32,244.31,240.94,244.2,21673109
2021. 2. 18 오후 4:00:00,241.8,243.93,240.86,243.79,16925563
2021. 2. 19 오후 4:00:00,243.75,243.86,240.18,240.97,25262600
2021. 2. 22 오후 4:00:00,237.42,237.93,232.4,234.51,36446936
2021. 2. 23 오후 4:00:00,230.33,234.83,228.73,233.27,30228704
2021. 2. 24 오후 4:00:00,230.01,235.2,229,234.55,26339746
2021. 2. 25 오후 4:00:00,232.08,234.59,227.88,228.99,39542235
2021. 2. 26 오후 4:00:00,231.53,235.37,229.54,232.38,37819227
2021. 3. 1 오후 4:00:00,235.9,237.47,233.15,236.94,25332837
2021. 3. 2 오후 4:00:00,237.01,237.3,233.45,233.87,22812459
2021. 3. 3 오후 4:00:00,232.16,233.58,227.26,227.56,34029526
2021. 3. 4 오후 4:00:00,226.74,232.49,224.26,226.73,44727785
2021. 3. 5 오후 4:00:00,229.52,233.27,226.46,231.6,41872770
2021. 3. 8 오후 4:00:00,231.37,233.37,227.13,227.39,35267440
2021. 3. 9 오후 4:00:00,232.88,235.38,231.67,233.78,33080531
2021. 3. 10 오후 4:00:00,237,237,232.04,232.42,29746812
2021. 3. 11 오후 4:00:00,234.96,239.17,234.31,237.13,29907586
2021. 3. 12 오후 4:00:00,234.01,235.82,233.23,235.75,22653662
2021. 3. 15 오후 4:00:00,234.96,235.19,231.81,234.81,26042669
2021. 3. 16 오후 4:00:00,236.28,240.06,235.94,237.71,28092196
2021. 3. 17 오후 4:00:00,236.15,238.55,233.23,237.04,29562100
2021. 3. 18 오후 4:00:00,232.56,234.19,230.33,230.72,34852251
2021. 3. 19 오후 4:00:00,231.02,232.47,229.35,230.35,46430730
2021. 3. 22 오후 4:00:00,230.27,236.9,230.14,235.99,30127005
2021. 3. 23 오후 4:00:00,237.49,241.05,237.07,237.58,31638376
2021. 3. 24 오후 4:00:00,237.85,238,235.32,235.46,25620127
2021. 3. 25 오후 4:00:00,235.3,236.94,231.57,232.34,34061853
2021. 3. 26 오후 4:00:00,231.55,236.71,231.55,236.48,25479853
2021. 3. 29 오후 4:00:00,236.59,236.8,231.88,235.24,25227455
2021. 3. 30 오후 4:00:00,233.53,233.85,231.1,231.85,24792012
2021. 3. 31 오후 4:00:00,232.91,239.1,232.39,235.77,43623471
2021. 4. 1 오후 4:00:00,238.47,242.84,238.05,242.35,30337982
2021. 4. 5 오후 4:00:00,242.76,249.96,242.7,249.07,36910609
2021. 4. 6 오후 4:00:00,247.61,249.4,246.88,247.86,22931923
2021. 4. 7 오후 4:00:00,247.81,250.93,247.19,249.9,22719835
2021. 4. 8 오후 4:00:00,252.77,254.14,252,253.25,23625197
2021. 4. 9 오후 4:00:00,252.87,255.99,252.44,255.85,24326833
2021. 4. 12 오후 4:00:00,254.71,257.67,254.62,255.91,27148668
2021. 4. 13 오후 4:00:00,257.26,259.19,256.83,258.49,23837469
2021. 4. 14 오후 4:00:00,257.48,258.83,255.16,255.59,23070938
2021. 4. 15 오후 4:00:00,257.93,259.93,257.73,259.5,25627481
2021. 4. 16 오후 4:00:00,259.47,261,257.6,260.74,24878582
2021. 4. 19 오후 4:00:00,260.19,261.48,257.82,258.74,23209260
2021. 4. 20 오후 4:00:00,257.82,260.2,256.84,258.26,19722875
2021. 4. 21 오후 4:00:00,258.94,260.68,257.25,260.58,24030383
2021. 4. 22 오후 4:00:00,260.21,261.78,255.64,257.17,25606152
2021. 4. 23 오후 4:00:00,257.88,261.51,257.27,261.15,21499286
2021. 4. 26 오후 4:00:00,261.66,262.44,260.17,261.55,19763346
2021. 4. 27 오후 4:00:00,261.58,263.19,260.12,261.97,31014213
2021. 4. 28 오후 4:00:00,256.08,256.54,252.95,254.56,46903119
2021. 4. 29 오후 4:00:00,255.46,256.1,249,252.51,40589023
2021. 4. 30 오후 4:00:00,249.74,253.08,249.6,252.18,30945098
2021. 5. 3 오후 4:00:00,253.4,254.35,251.12,251.86,19626568
2021. 5. 4 오후 4:00:00,250.97,251.21,245.76,247.79,32756052
2021. 5. 5 오후 4:00:00,249.06,249.5,245.82,246.47,21901325
2021. 5. 6 오후 4:00:00,246.45,249.86,244.69,249.73,26491085
2021. 5. 7 오후 4:00:00,252.15,254.3,251.17,252.46,27032912
2021. 5. 10 오후 4:00:00,250.87,251.73,247.12,247.18,29299890
2021. 5. 11 오후 4:00:00,244.55,246.6,242.57,246.23,33641589
2021. 5. 12 오후 4:00:00,242.17,244.38,238.07,239,36684370
2021. 5. 13 오후 4:00:00,241.8,245.6,241.42,243.03,29624298
2021. 5. 14 오후 4:00:00,245.58,249.18,245.49,248.15,23901081
2021. 5. 17 오후 4:00:00,246.55,246.59,243.52,245.18,24970168
2021. 5. 18 오후 4:00:00,246.27,246.41,242.9,243.08,20167975
