Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,13.02,13.09,12.84,13.03,5654672
2021. 1. 20 오후 4:00:00,13.11,13.43,13.06,13.37,6464272
2021. 1. 21 오후 4:00:00,13.42,14,13.25,13.87,8458490
2021. 1. 22 오후 4:00:00,13.74,13.84,13.63,13.71,6170464
2021. 1. 25 오후 4:00:00,13.78,13.83,13.24,13.65,6277779
2021. 1. 26 오후 4:00:00,13.58,13.64,13.39,13.44,4099510
2021. 1. 27 오후 4:00:00,13.23,13.23,12.79,12.92,9281821
2021. 1. 28 오후 4:00:00,13,13.34,12.96,13.05,5707899
2021. 1. 29 오후 4:00:00,13.08,13.33,12.91,12.99,6788801
2021. 2. 1 오후 4:00:00,13.05,13.27,12.9,13.24,5430108
2021. 2. 2 오후 4:00:00,13.4,13.57,13.29,13.56,5510957
2021. 2. 3 오후 4:00:00,13.64,13.93,13.52,13.53,6135232
2021. 2. 4 오후 4:00:00,13.53,13.67,13.34,13.66,5033462
2021. 2. 5 오후 4:00:00,13.73,13.74,13.55,13.59,4228841
2021. 2. 8 오후 4:00:00,13.73,14.47,13.73,14.44,10865571
2021. 2. 9 오후 4:00:00,14.34,14.58,14.22,14.26,7189003
2021. 2. 10 오후 4:00:00,14.46,14.91,14.34,14.76,12133808
2021. 2. 11 오후 4:00:00,14.98,15.27,14.93,15.25,11270693
2021. 2. 12 오후 4:00:00,15.05,15.29,14.78,14.96,9368937
2021. 2. 16 오후 4:00:00,15.06,15.37,14.95,15.33,8048988
2021. 2. 17 오후 4:00:00,15.17,15.22,14.78,14.91,6892467
2021. 2. 18 오후 4:00:00,14.73,14.87,14.58,14.83,5852020
2021. 2. 19 오후 4:00:00,15.02,15.18,14.85,14.93,6793103
2021. 2. 22 오후 4:00:00,14.77,15.13,14.33,14.36,8147139
2021. 2. 23 오후 4:00:00,14.08,14.24,13.39,14.14,9794483
2021. 2. 24 오후 4:00:00,14.12,14.51,13.76,14.5,11207977
2021. 2. 25 오후 4:00:00,14.05,14.37,13.22,13.31,20610901
2021. 2. 26 오후 4:00:00,13.75,13.85,13.36,13.71,12523260
2021. 3. 1 오후 4:00:00,13.88,13.93,13.55,13.84,8829575
2021. 3. 2 오후 4:00:00,13.9,13.92,13.4,13.41,6602853
2021. 3. 3 오후 4:00:00,13.43,13.45,12.8,12.8,9439757
2021. 3. 4 오후 4:00:00,12.8,12.98,12.08,12.37,14333629
2021. 3. 5 오후 4:00:00,12.55,12.55,11.68,12.46,13570971
2021. 3. 8 오후 4:00:00,12.45,12.47,11.57,11.59,13577792
2021. 3. 9 오후 4:00:00,12.13,12.62,12.06,12.52,13045638
2021. 3. 10 오후 4:00:00,12.84,12.98,12.46,12.47,9609414
2021. 3. 11 오후 4:00:00,12.95,13.05,12.73,12.99,7497857
2021. 3. 12 오후 4:00:00,12.65,12.89,12.59,12.86,6099099
2021. 3. 15 오후 4:00:00,12.86,13.21,12.77,13.19,5563011
