Date,Open,High,Low,Close,Volume
2021. 1. 19 오후 4:00:00,279.27,283.33,277.67,281.52,25366980
2021. 1. 20 오후 4:00:00,286.25,286.5,279.09,283.48,25665883
2021. 1. 21 오후 4:00:00,285,285.24,280.47,281.66,20598133
2021. 1. 22 오후 4:00:00,278.1,282.67,276.21,282.21,20066497
2021. 1. 25 오후 4:00:00,285,300.13,279.61,293.6,41173397
2021. 1. 26 오후 4:00:00,297.13,298.63,290.53,294.36,23131603
2021. 1. 27 오후 4:00:00,290.12,297.17,286.22,288.05,27333955
2021. 1. 28 오후 4:00:00,273.33,282.67,267,278.48,26378048
2021. 1. 29 오후 4:00:00,276.67,280.8,260.03,264.51,34990754
2021. 2. 1 오후 4:00:00,271.43,280.67,265.19,279.94,25391385
2021. 2. 2 오후 4:00:00,281.56,293.5,280.73,290.93,24346213
2021. 2. 3 오후 4:00:00,292.34,292.69,284.35,284.9,18343510
2021. 2. 4 오후 4:00:00,285,285.5,277.81,283.33,15812661
2021. 2. 5 오후 4:00:00,281.67,288.26,279.66,284.08,18566637
2021. 2. 8 오후 4:00:00,289.89,292.59,284.92,287.81,20161719
2021. 2. 9 오후 4:00:00,285.04,286.6,280.58,283.15,15157651
2021. 2. 10 오후 4:00:00,281.21,281.61,266.67,268.27,36216090
2021. 2. 11 오후 4:00:00,270.81,276.63,267.24,270.55,21622753
2021. 2. 12 오후 4:00:00,267.09,272.44,261.78,272.04,23768313
2021. 2. 16 오후 4:00:00,272.67,273.67,264.15,265.41,19802324
2021. 2. 17 오후 4:00:00,259.7,266.61,254,266.05,26078898
2021. 2. 18 오후 4:00:00,260.3,264.9,258.76,262.46,17957058
2021. 2. 19 오후 4:00:00,265,265.6,259.12,260.43,18958255
2021. 2. 22 오후 4:00:00,254.21,256.17,236.73,238.17,37269716
2021. 2. 23 오후 4:00:00,220.71,237.87,206.33,232.95,66606882
2021. 2. 24 오후 4:00:00,237.28,248.33,231.39,247.34,36766950
2021. 2. 25 오후 4:00:00,242.05,245.74,223.53,227.41,39023855
2021. 2. 26 오후 4:00:00,233.33,235.57,219.84,225.17,41089173
2021. 3. 1 오후 4:00:00,230.04,290.67,228.35,239.48,27136239
2021. 3. 2 오후 4:00:00,239.43,240.37,228.33,228.81,23732158
2021. 3. 3 오후 4:00:00,229.33,233.57,217.24,217.73,30207960
2021. 3. 4 오후 4:00:00,218.6,291.31,200,207.15,65919530
2021. 3. 5 오후 4:00:00,208.69,209.28,179.83,199.32,89396459
2021. 3. 8 오후 4:00:00,200.18,206.71,186.26,187.67,51786958
